Timestamp,TrafficCount
2020-01-20 00:00:00,487.00
2020-01-20 00:30:00,385.00
2020-01-20 01:30:00,269.00
2020-01-20 02:30:00,517.00
2020-01-20 03:30:00,129.00
2020-01-20 04:30:00,278.00
2020-01-20 05:30:00,435.00
2020-01-20 06:30:00,277.00
2020-01-20 07:30:00,1082.00
2020-01-20 08:30:00,3432.00
2020-01-20 09:30:00,7446.00
2020-01-20 10:30:00,10434.00
2020-01-20 11:30:00,11825.00
2020-01-20 12:30:00,8564.00
2020-01-20 13:30:00,11594.00
2020-01-20 14:30:00,10035.00
2020-01-20 15:30:00,7657.00
2020-01-20 16:30:00,6183.00
2020-01-20 17:30:00,4876.00
2020-01-20 18:30:00,4049.00
2020-01-20 19:30:00,2338.00
2020-01-20 20:30:00,1160.00
2020-01-20 21:30:00,1398.00
2020-01-20 22:30:00,633.00
2020-01-20 23:30:00,263.00
2020-01-21 00:30:00,261.00
2020-01-21 01:30:00,256.00
2020-01-21 02:30:00,281.00
2020-01-21 03:30:00,338.00
2020-01-21 04:30:00,263.00
2020-01-21 05:30:00,617.00
2020-01-21 06:30:00,557.00
2020-01-21 07:30:00,2673.00
2020-01-21 08:30:00,8002.00
2020-01-21 09:30:00,16128.00
2020-01-21 10:30:00,24905.00
2020-01-21 11:30:00,34959.00
2020-01-21 12:30:00,28782.00
2020-01-21 13:30:00,30171.00
2020-01-21 14:30:00,27725.00
2020-01-21 15:30:00,24082.00
2020-01-21 16:30:00,19487.00
2020-01-21 17:30:00,16054.00
2020-01-21 18:30:00,12194.00
2020-01-21 19:30:00,9077.00
2020-01-21 20:30:00,4919.00
2020-01-21 21:30:00,3826.00
2020-01-21 22:30:00,1087.00
2020-01-21 23:30:00,877.00
2020-01-22 00:30:00,381.00
2020-01-22 01:30:00,209.00
2020-01-22 02:30:00,196.00
2020-01-22 03:30:00,365.00
2020-01-22 04:30:00,300.00
2020-01-22 05:30:00,278.00
2020-01-22 06:30:00,824.00
2020-01-22 07:30:00,3164.00
2020-01-22 08:30:00,7674.00
2020-01-22 09:30:00,16821.00
2020-01-22 10:30:00,38016.00
2020-01-22 11:30:00,52405.00
2020-01-22 12:30:00,42522.00
2020-01-22 13:30:00,47863.00
2020-01-22 14:30:00,56875.00
2020-01-22 15:30:00,55951.00
2020-01-22 16:30:00,44857.00
2020-01-22 17:30:00,33734.00
2020-01-22 18:30:00,21005.00
2020-01-22 19:30:00,13542.00
2020-01-22 20:30:00,8156.00
2020-01-22 21:30:00,5830.00
2020-01-22 22:30:00,1108.00
2020-01-22 23:30:00,465.00
2020-01-23 00:30:00,700.00
2020-01-23 01:30:00,657.00
2020-01-23 02:30:00,291.00
2020-01-23 03:30:00,271.00
2020-01-23 04:30:00,137.00
2020-01-23 05:30:00,705.00
2020-01-23 06:30:00,711.00
2020-01-23 07:30:00,4540.00
2020-01-23 08:30:00,12331.00
2020-01-23 09:30:00,27280.00
2020-01-23 10:30:00,42804.00
2020-01-23 11:30:00,70022.00
2020-01-23 12:30:00,36496.00
2020-01-23 13:30:00,40285.00
2020-01-23 14:30:00,53660.00
2020-01-23 15:30:00,38065.00
2020-01-23 16:30:00,27922.00
2020-01-23 17:30:00,20750.00
2020-01-23 18:30:00,18226.00
2020-01-23 19:30:00,15738.00
2020-01-23 20:30:00,10311.00
2020-01-23 21:30:00,4085.00
